Country,Year,InjuriesPerMillion
Estonia,1976,1300
Estonia,1989,1436
Estonia,1988,1248
Estonia,1987,1133
Estonia,1986,1121
Estonia,1985,998
Estonia,1984,1148
Estonia,1983,1114
Estonia,1982,1102
Estonia,1981,1174
Estonia,1980,1202
Estonia,2012,1300
Estonia,2011,1438
Estonia,2010,1298
Estonia,2009,1447
Estonia,2008,1793.4
Estonia,2007,2439.8
Estonia,2006,2604.7
Estonia,2005,2234.3
Estonia,2004,2110
Estonia,2003,1852.3
Estonia,2002,2079.2
Estonia,2001,1759.9
Estonia,2000,1319.3
Estonia,1999,1229
Estonia,1998,1436
Estonia,1997,1311
Estonia,1996,1093
Estonia,1995,1320
Estonia,1994,1253
Estonia,1993,1005
Estonia,1992,841
Estonia,1991,1393
Estonia,1990,1516
Estonia,2023,1422
Estonia,2022,1414
Estonia,2021,1331
Estonia,2020,1216
Estonia,2019,1332
Estonia,2018,1390
Estonia,2017,1317
Estonia,2016,1399
Finland,1998,1765
Finland,1997,1743
Finland,1963,2763
Finland,1962,2702
Finland,1961,2519
Finland,1960,2193
Finland,1973,3399
Finland,1972,3445
Finland,1971,3475
Finland,1970,3480
Finland,1969,3298
Finland,1968,3106
Finland,1967,3332
Finland,1966,3196
Finland,1965,3487
Finland,1964,3092
Finland,1996,1815
Finland,1995,1995
Finland,1994,1588
Finland,1993,1541
Finland,1992,1963
Finland,1991,2296
Finland,1990,2559
Finland,1989,2426
Finland,1988,2407
Finland,1987,2180
Finland,1986,2188
Finland,1985,1951
Finland,1984,1884
Finland,1983,1930
Finland,1982,1889
Finland,1981,1890
Finland,1980,1766
Finland,1979,1839
Finland,1978,1831
Finland,1977,2386
Finland,1976,2477
Finland,1975,3004
Finland,1974,3020
Finland,2021,701
Finland,2020,798
Finland,2019,908
Finland,2018,961
Finland,2017,1012
Finland,2016,1076
Finland,2015,1169
Finland,2014,1222
Finland,2013,1228
Finland,2012,1309
Finland,2011,1472
Finland,2010,1431
Finland,2009,1509
Finland,2008,1602
Finland,2007,1597
Finland,2006,1629
Finland,2005,1712
Finland,2004,1681
Finland,2003,1743
Finland,2002,1568
Finland,2001,1621
Finland,2000,1644
France,1998,2881
France,1997,2909
France,1963,5039
France,1962,4879
France,1961,4627
France,1960,4050
France,1973,7028
France,1972,7192
